Dia,Total de Visitantes,Clima
2018-04-07,708,Parcialmente Nublado
2018-04-08,683,Lluvioso
2018-04-09,409,Parcialmente Nublado
2018-04-10,398,Parcialmente Nublado
2018-04-11,370,Lluvioso
2018-04-12,303,Parcialmente Nublado
2018-04-13,473,Parcialmente Nublado
2018-04-14,698,Soleado
2018-04-15,655,Soleado
2018-04-16,343,Parcialmente Nublado
2018-04-17,334,Parcialmente Nublado
2018-04-18,420,Parcialmente Nublado
2018-04-19,362,Parcialmente Nublado
2018-04-20,427,Parcialmente Nublado
2018-04-21,587,Parcialmente Nublado
2018-04-22,493,Lluvioso
2018-04-23,286,Lluvioso
2018-04-24,329,Parcialmente Nublado
2018-04-25,425,Parcialmente Nublado
2018-04-26,418,Parcialmente Nublado
2018-04-27,487,Parcialmente Nublado
2018-04-28,678,Parcialmente Nublado
2018-04-29,730,Lluvioso
