Rk,Player,Tm,2019-20
556,Mychal Mulder\muldemy01,GSW,$50752
557,Eric Mika\mikaer01,SAC,$50752
558,Zach Norvell\norveza01,GSW,$50752
559,Malik Newman\newmama01,CLE,$50752
560,Marques Bolden\boldema01,CLE,$50752
561,Sir'Dominic Pointer\pointsi01,CLE,$50752
562,Paul Watson\watsopa01,ATL,$50752
563,Tyler Cook\cookty01,CLE,$50000
564,William Howard\howarwi01,UTA,$50000
565,Isaiah Taylor\taylois01,TOR,$50000
566,Tyler Lydon\lydonty01,SAC,$50000
567,Hollis Thompson\thompho01,SAC,$50000
568,Tyler Ulis\ulisty01,SAC,$50000
