Rk,Player,Tm,2019-20
128,Markelle Fultz\fultzma01,ORL,$9745200
129,John Henson\hensojo01,DET,$9732396
130,Matthew Dellavedova\dellama01,CLE,$9607500
131,Dante Exum\exumda01,CLE,$9600000
132,Deandre Ayton\aytonde01,PHO,$9562920
133,Delon Wright\wrighde01,DAL,$9473684
134,Jerami Grant\grantje01,DEN,$9346153
135,Al-Farouq Aminu\aminual01,ORL,$9258000
136,George Hill\hillge01,MIL,$9133907
137,Kyle Anderson\anderky01,MEM,$9073050
138,Fred VanVleet\vanvlfr01,TOR,$9000000
139,Ja Morant\moranja01,MEM,$8730240
140,C.J. Miles\milescj01,WAS,$8730158
141,Lonzo Ball\balllo01,NOP,$8719320
142,E'Twaun Moore\mooreet01,NOP,$8664928
143,Marvin Bagley\baglema01,SAC,$8556120
144,Bogdan Bogdanović\bogdabo01,SAC,$8529386
145,Tyus Jones\jonesty01,MEM,$8408000
146,P.J. Tucker\tuckepj01,HOU,$8349039
147,Cristiano Felício\feliccr01,CHI,$8156500
148,Ben Simmons\simmobe01,PHI,$8113930
149,Kentavious Caldwell-Pope\caldwke01,LAL,$8089282
150,Maxi Kleber\klebima01,DAL,$8000000
151,Lou Williams\willilo02,LAC,$8000000
152,Elfrid Payton\paytoel01,NYK,$8000000
153,Thomas Bryant\bryanth01,WAS,$7936508
154,RJ Barrett\barrerj01,NYK,$7839960
155,Jayson Tatum\tatumja01,BOS,$7830000
156,Jae Crowder\crowdja01,MIA,$7815533
157,Wayne Ellington\ellinwa01,NYK,$7804878
158,Luka Dončić\doncilu01,DAL,$7683360
159,Joe Harris\harrijo01,BRK,$7670000
160,Seth Curry\curryse01,DAL,$7441860
161,Doug McDermott\mcderdo01,IND,$7333334
162,Langston Galloway\gallola01,DET,$7333333
163,Derrick Rose\rosede01,DET,$7317073
164,Brandon Ingram\ingrabr01,NOP,$7265485
165,D.J. Augustin\augusdj01,ORL,$7250000
166,Darius Miller\milleda01,NOP,$7250000
167,De'Andre Hunter\huntede01,ATL,$7068360
168,Josh Jackson\jacksjo02,MEM,$7059480
169,Dāvis Bertāns\bertada01,WAS,$7000000
170,Ersan İlyasova\ilyaser01,MIL,$7000000
171,Jaren Jackson\jacksja02,MEM,$6927480
172,DeMarre Carroll\carrode01,SAS,$6842307
173,Nemanja Bjelica\bjeline01,SAC,$6825000
174,Jaylen Brown\brownja02,BOS,$6534829
175,Jabari Parker\parkeja01,SAC,$6500000
176,Ivica Zubac\zubaciv01,LAC,$6481482
177,Joakim Noah\noahjo01,NYK,$6431666
178,Darius Garland\garlada01,CLE,$6400920
179,De'Aaron Fox\foxde01,SAC,$6392760
180,Trae Young\youngtr01,ATL,$6273000
181,Montrezl Harrell\harremo01,LAC,$6000000
182,Ish Smith\smithis01,WAS,$5853659
183,Marco Belinelli\belinma01,SAS,$5846154
