edad,anos_de_experiencia,anos_en_la_empresa_actual,anos_en_el_puesto_actual,perfil,salario_bruto,salario_neto
33,8,2,2,BI Analyst / Data Analyst,90000,70000
30,4,4,3,BI Analyst / Data Analyst,96000,79700
30,3,2,2,BI Analyst / Data Analyst,85000,70000
42,18,4,2,BI Analyst / Data Analyst,200000,155000
30,3,3,3,BI Analyst / Data Analyst,56000,52500
30,4,1,1,Data Scientist / Data Engineer,216220,130000
30,11,2,8,Data Scientist / Data Engineer,101000,80000
23,0,0,0,BI Analyst / Data Analyst,40000,33000
23,0,0,0,BI Analyst / Data Analyst,40000,33000
25,2,0,2,Data Scientist / Data Engineer,125000,92000
39,13,10,3,Data Scientist / Data Engineer,192000,132000
27,3,2,2,BI Analyst / Data Analyst,68000,56000
28,5,1,1,Data Scientist / Data Engineer,128000,95000
30,12,5,2,Data Scientist / Data Engineer,166000,113000
37,14,1,1,BI Analyst / Data Analyst,120000,91000
34,7,1,1,BI Analyst / Data Analyst,94000,73000
36,2,2,2,BI Analyst / Data Analyst,120000,95000
37,10,10,3,Data Scientist / Data Engineer,105000,75000
39,13,0,0,Data Scientist / Data Engineer,230000,160000
25,4,1,1,Data Scientist / Data Engineer,80000,65000
45,23,23,23,BI Analyst / Data Analyst,125000,95000
37,17,17,5,BI Analyst / Data Analyst,85000,70000
35,10,2,4,Data Scientist / Data Engineer,163000,115000
29,4,2,2,BI Analyst / Data Analyst,52183,43300
26,0,0,0,BI Analyst / Data Analyst,42000,39063
36,10,1,1,BI Analyst / Data Analyst,100000,72000
34,10,1,4,Data Scientist / Data Engineer,140000,110000
24,1,1,1,Data Scientist / Data Engineer,81500,71000
22,2,0,0,BI Analyst / Data Analyst,78000,65000
33,10,1,1,Data Scientist / Data Engineer,220000,140000
33,10,5,3,Data Scientist / Data Engineer,150000,108000
23,0,0,0,BI Analyst / Data Analyst,46000,38000
28,7,4,4,Data Scientist / Data Engineer,180000,120000
25,3,2,2,BI Analyst / Data Analyst,61000,49971
27,1,1,1,Data Scientist / Data Engineer,54216,45000
25,3,2,2,BI Analyst / Data Analyst,60000,56000
25,2,2,2,BI Analyst / Data Analyst,53143,44109
38,15,5,5,BI Analyst / Data Analyst,230000,155000
36,10,1,6,BI Analyst / Data Analyst,123000,87000
23,0,0,0,Data Scientist / Data Engineer,99000,80000
28,10,2,1,Data Scientist / Data Engineer,113000,88700
33,10,4,3,Data Scientist / Data Engineer,103000,88000
43,15,5,10,Data Scientist / Data Engineer,75000,67500
43,20,5,1,Data Scientist / Data Engineer,190000,155800
37,16,3,2,Data Scientist / Data Engineer,120000,98000
41,21,21,10,BI Analyst / Data Analyst,85000,73000
30,1,0,0,Data Scientist / Data Engineer,50600,42000
38,12,2,2,BI Analyst / Data Analyst,65000,58000
26,3,1,2,Data Scientist / Data Engineer,105000,85000
42,14,17,2,BI Analyst / Data Analyst,67000,56000
41,15,43,3,Data Scientist / Data Engineer,135000,105000
