id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
JqlO3izKzUVFJyCwcBwFtQ==,Centro / Microcentro,2,1,35,35,90000,Departamento,90
7x1ybBBpN7GnUL9d6u3KzQ==,San Telmo,2,2,72,72,135000,PH,135
zsOwE3z4ha0mUYGwkxto2A==,Velez Sarsfield,2,1,48,40,82000,PH,82
jrce4NQIPz7m51zAbVtDZw==,Almagro,2,1,49,45,65000,Departamento,65
geeO+V4PxpFgB6j6GUkZCw==,Liniers,2,1,46,46,73000,Departamento,73
mXcPeOkA28OUgyhZkaAozg==,Palermo,2,1,37,37,70000,Departamento,70
W/gCR4oH7ob7jI4jZB0v2g==,Colegiales,2,2,115,59,178000,Departamento,178
vSF6p2Po3NHI5JZyQ5vT/A==,Villa General Mitre,2,1,45,40,89900,Departamento,90
gy6hJAszDeAtinXoHRrirg==,Palermo,3,2,85,73,245000,Departamento,245
EgniOzk6DwmXuWK33z86eg==,Nuñez,3,2,84,84,298000,Departamento,298
WGCKA7JYYQatcemU+5CSTA==,Flores,3,1,63,58,105000,Departamento,105
rlUSlXFV3ijEyBXqG18Opg==,Almagro,3,1,58,54,110000,Departamento,110
pWzOhE40+hZvq2GKW6dUAA==,Almagro,3,1,69,62,84900,Departamento,85
p3hyJSaV3qIZG+sT/RnB+g==,Palermo,3,1,109,70,280000,Departamento,280
Z9zTwn2hiqZpatrHZHMNsw==,Palermo,3,2,68,68,255000,Departamento,255
BIWGOXHdMUkelJiZAVXGtA==,Recoleta,3,1,78,55,132000,Departamento,132
a8MbNG5zX9WG1qtqxIEd+Q==,Recoleta,3,1,84,84,179000,Departamento,179
Lpp80lMMiDloFC8eJwP6ng==,Caballito,3,1,64,60,99000,Departamento,99
bc+YpSr8NZhPdSLH5oIfZA==,San Telmo,3,1,59,59,90000,Departamento,90
sfTEYFmsmPUlcKQ0hiIuUQ==,Barrio Norte,3,2,80,75,230000,Departamento,230
syiRgNHRHp88jNiop5QM6A==,Puerto Madero,3,2,120,105,650000,Departamento,650
/rYI416leDpA/Ou/1rGigQ==,Villa Urquiza,3,1,68,62,170000,Departamento,170
w9ZnyO1fbM5RmzZqAYpEaA==,Villa Urquiza,3,1,76,70,180000,Departamento,180
ibjS6RteHWLBnpSGI7Wdvw==,Balvanera,3,1,64,53,56000,PH,56
gKr0tUn9TI1c4U9hnLwEBg==,Almagro,3,2,90,90,135000,Departamento,135
U+IwVCiTG9WdVfVgsFYUBA==,Colegiales,3,1,68,58,150000,Departamento,150
KNQ9zFPF3G3CEAOoJRQMwQ==,Caballito,3,1,50,50,75000,PH,75
e1mQuwqZPi9IrVkwpH9vOg==,Villa Urquiza,3,1,67,60,120000,PH,120
qTBizJVf1RLFFCy9s4IJBQ==,Parque Patricios,3,1,53,53,49900,PH,50
tloGoxBZ52uhbxoGGcIHyw==,Parque Chacabuco,3,1,188,170,315000,Casa,315
FjAfXQvmntTkkd828QBiPA==,Flores,3,2,90,90,89000,Departamento,89
Gr/FVRHC/r1rzwedQ+DU7Q==,Flores,3,1,54,50,160000,Departamento,160
hoPgDp7k1O+X41KLMpH4NQ==,Nuñez,3,1,63,61,150000,Departamento,150
R7hM6497Qja3ij7qXITywQ==,Almagro,3,1,67,61,159500,Departamento,160
xt/NkJopCD2olYhny34/6A==,Belgrano,3,1,55,50,104900,Departamento,105
JsUI5KC6kSKqDyCDOh5n0w==,Belgrano,3,1,54,51,140000,Departamento,140
